masse	taille	espece
28.6	19.1	glycine blanche
20.6	14.8	glycine blanche
29.2	19.7	glycine blanche
32	21.1	glycine blanche
24.5	19.4	glycine blanche
29	19.5	glycine blanche
28.9	18.9	glycine blanche
18.2	14.6	glycine blanche
7.9	10.2	glycine blanche
15.5	14.6	glycine blanche
22.6	16.4	glycine blanche
35.5	21.1	glycine blanche
32.5	20.7	glycine blanche
28.7	18.7	glycine blanche
26	17.6	glycine blanche
13.5	13.2	glycine blanche
16.4	14	glycine blanche
12.5	12	glycine blanche
26.2	18.3	glycine blanche
22.6	17.8	glycine blanche
9.7	10.7	glycine blanche
21.8	16.5	glycine blanche
17.2	14.5	glycine blanche
25.2	17.5	glycine blanche
12	12.2	glycine blanche
6.3	8.6	glycine blanche
7	9.1	glycine blanche
20.4	17	glycine blanche
18	15.3	glycine blanche
21.1	15.8	glycine blanche
18.2	15.9	glycine blanche
15.2	12.2	glycine blanche
19.8	16.1	glycine blanche
21.4	16	glycine blanche
15	13.8	glycine blanche
16.4	14.4	glycine blanche
17.3	14.2	glycine blanche
16.4	15.7	glycine blanche
13.5	12.6	glycine blanche
13.6	12	glycine blanche
14.6	12.8	glycine blanche
16.9	15.3	glycine blanche
11.7	12.4	glycine blanche
14	14.5	glycine blanche
14.6	12.3	glycine blanche
10.3	11.8	glycine blanche
11.3	12.6	glycine blanche
10.7	11.3	glycine blanche
10.9	12.5	glycine blanche
20	16.1	glycine blanche
21.5	16.2	glycine blanche
12	11.3	glycine blanche
6.1	8.6	glycine blanche
5.4	8.2	glycine blanche
40	24.5	glycine violette
49.2	27	glycine violette
46	25.8	glycine violette
26.4	18.7	glycine violette
42.2	25.2	glycine violette
48.4	25.8	glycine violette
23.9	19.2	glycine violette
31.7	21.4	glycine violette
16.8	12	glycine violette
21.6	14	glycine violette
24.1	18.5	glycine violette
13.5	12.8	glycine violette
22.4	13.8	glycine violette
26.1	17.3	glycine violette
12.9	12.4	glycine violette
26.6	20	glycine violette
29.6	20.5	glycine violette
22.4	18.2	glycine violette
17.3	13.3	glycine violette
16.6	13.5	glycine violette
12.8	12	glycine violette
19.1	14.5	glycine violette
12.4	11.6	glycine violette
8.8	9.2	glycine violette
13.2	15.1	glycine violette
15.9	12.2	glycine violette
13.3	11.2	glycine violette
6.3	8.4	glycine violette
12.9	11.5	glycine violette
6.2	7.8	glycine violette
8.6	9.8	glycine violette
14.4	11.6	glycine violette
11.5	9.8	glycine violette
11.5	11	glycine violette
12.8	10.6	glycine violette
11.7	11.1	glycine violette
15.7	14	glycine violette
12	11.4	glycine violette
13.4	11.1	glycine violette
11.3	10.7	glycine violette
6.6	7.9	glycine violette
17.8	13.7	glycine violette
9.6	10	glycine violette
14.3	12.8	glycine violette
14	12.2	glycine violette
11.3	11.4	glycine violette
10.2	10.2	glycine violette
12.2	10.8	glycine violette
15.9	13	glycine violette
11.7	10.3	glycine violette
12.4	11	glycine violette
11.5	11.4	glycine violette
10.6	10.5	glycine violette
9.4	9.2	glycine violette
9.2	9.9	glycine violette
6.1	8.4	glycine violette
10.9	12.8	bignone
6.6	10.5	bignone
22.5	18	bignone
33.7	21.5	bignone
20.6	17.8	bignone
16.6	16.3	bignone
14.2	17.4	bignone
13.8	15.7	bignone
14	17.3	bignone
8.7	13.4	bignone
14.2	13.9	bignone
10.6	14.6	bignone
10.9	14.2	bignone
3.3	8.9	bignone
9.7	13	bignone
9.3	12.2	bignone
17.2	16.5	bignone
10.1	14.7	bignone
9	13.4	bignone
7.1	11.6	bignone
7.1	12.9	bignone
1.5	6.5	bignone
4.1	9.5	bignone
8	11.8	bignone
7.4	13.6	bignone
7.2	12.9	bignone
6.9	11.6	bignone
2.9	9.4	bignone
2.4	9.5	bignone
10.7	14	bignone
13.8	13.5	bignone
10.9	12.1	bignone
10.3	11.6	bignone
8.8	13.4	bignone
9	10.9	bignone
8.2	12.2	bignone
9.6	13.4	bignone
9	12.5	bignone
5.3	10.5	bignone
1.5	7	bignone
6.7	13.2	bignone
2.9	9.3	bignone
2.9	7.9	bignone
3.5	10.3	bignone
3.4	7.5	bignone
4.9	8.5	bignone
4.7	10.1	bignone
4.7	8.3	bignone
5.2	10.8	bignone
2.1	8.3	bignone
2.2	7.1	bignone
1.4	6.4	bignone
2.7	6.5	bignone
1	4.8	bignone
2.5	7.4	bignone
5.5	9.3	bignone
2.7	8.6	bignone
6.7	9.9	bignone
7.3	13.9	bignone
2.9	8.7	bignone
3.8	9.3	bignone
7.6	13.7	bignone
3.6	8.3	bignone
3	8.1	bignone
5.8	11.2	bignone
5.3	12	bignone
3.2	11.3	bignone
4.4	6.7	bignone
3.4	10.6	bignone
2.9	8.9	bignone
4.9	15.3	laurier rose
6.2	15.9	laurier rose
4	15	laurier rose
3.3	11	laurier rose
4.8	15.1	laurier rose
5.6	15.6	laurier rose
4.5	15.3	laurier rose
6.3	18.4	laurier rose
4.2	14	laurier rose
3.9	12.6	laurier rose
5.8	16.8	laurier rose
4.7	13.6	laurier rose
6	15.1	laurier rose
6.5	16.7	laurier rose
5	15.3	laurier rose
5.5	17.1	laurier rose
4.7	14.6	laurier rose
5.7	15	laurier rose
3.6	10.4	laurier rose
5.4	16.5	laurier rose
5.3	16.6	laurier rose
5	15.9	laurier rose
4.5	14.4	laurier rose
4.4	16.2	laurier rose
4.8	15.2	laurier rose
4.5	15.8	laurier rose
3.2	11	laurier rose
4.7	14.1	laurier rose
4	13.7	laurier rose
5.8	15.4	laurier rose
5.5	15.3	laurier rose
4.4	13.5	laurier rose
3.5	12	laurier rose
4.4	14.7	laurier rose
4.3	15.5	laurier rose
4.1	12.9	laurier rose
5.3	15	laurier rose
4.7	15.8	laurier rose
5.3	13.8	laurier rose
4.7	12.8	laurier rose
4.9	16	laurier rose
4.1	12	laurier rose
4.6	14.3	laurier rose
4.8	14.5	laurier rose
3.4	11.4	laurier rose
3.4	13.3	laurier rose
5.8	15.5	laurier rose
4.8	15.1	laurier rose
3.9	12.8	laurier rose
3.4	12.7	laurier rose
4.5	15.7	laurier rose
3.3	13.2	laurier rose
3.3	13.4	laurier rose
3.6	13.8	laurier rose
3.5	11.2	laurier rose
3.8	11.4	laurier rose
3.2	11.1	laurier rose
3.8	14.4	laurier rose
5.3	13.4	laurier rose
5.8	14.7	laurier rose
4.6	14.9	laurier rose
3.2	10.5	laurier rose
4.3	14.6	laurier rose
2.7	11.3	laurier rose
2.6	9.1	laurier rose
2.4	9	laurier rose
2.6	9.4	laurier rose
3.2	12.1	laurier rose
6.4	16.1	laurier rose
3.4	13.2	laurier rose
3.4	11.4	laurier rose
2.7	11.5	laurier rose
11.13	13.37	Moyennes
